ID,lexeme,phonetic,interlinearization,morphology,dialects,notes,linguistic_history,source,soundSource,soundFile,speakerName,speakerHometown,speakerAge,speakerGender,en_gloss,hi_gloss,semanticDomain,semanticDomain.2,partOfSpeech,partOfSpeech fullname,vernacular_exampleSentence,en_exampleSentence,hi_exampleSentence,semanticDomain.3,photoFile,photoSource,pluralForm
ZohYd3AuVbWDgGp981Tk,कुल्लूआ,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/audio%2Fmahasuvi%2FZohYd3AuVbWDgGp981Tk_1624192934653.wav?alt=media,ZohYd3AuVbWDgGp981Tk_A_man_from_Kullu.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,A man from Kullu,कुल्लू का व्यक्ति,"Humans, Social Relations and Organization",Names of people and clans,n,noun,,,,,,,
ZonFZadJpLRP6Akkb2OM,ड्याकणा,,,,Bishshau,,,,,,,,,,to lock,बंद करना,Physical Actions,,,,,,,,,,
Zpt88iyYyYJN5XWmFJPq,ओषती,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FZpt88iyYyYJN5XWmFJPq_1653121450649.wav?alt=media,Zpt88iyYyYJN5XWmFJPq_Medicine.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Medicine,औषधि,"Health, well-being and sickness",,n,noun,,,,,,,
Zq8boTw6rhFoAQuTXey8,कोईंथ,,,,Shimla Saraji,,,,,,,,,,Pyrus pashia,कैंथ,"Plants, trees and other vegetation","Food, cooking and foodways",n,noun,चौड़े ना कोईंथो रे कांडे,Don't break Kainth's needles.,कैंथ की सुइयां मत तोड़ो।,,,,
ZrpfYsURr2lv3lYAFJR2,मुङो,,,,Rohruri ,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FZrpfYsURr2lv3lYAFJR2_1653311207469.wav?alt=media,ZrpfYsURr2lv3lYAFJR2_Puffed_rice.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Puffed rice,मुरमुरे,"Food, cooking and foodways",,n,noun,,,,,,,
a1foRKt7FItfoP0C9FrO,घुश,,,,Rohruri ,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2Fa1foRKt7FItfoP0C9FrO_1653124577583.wav?alt=media,a1foRKt7FItfoP0C9FrO_Wipe.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Wipe,पोछ,Physical Actions,Cleanliness and hygiene,v,verb,,,,,,,
a3y6AAxAMX2M6ecx6LEm,कोट,,,,Shimla Saraji,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2Fa3y6AAxAMX2M6ecx6LEm_1653122407439.wav?alt=media,a3y6AAxAMX2M6ecx6LEm_Fort.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Fort,किला,Construction,,n,noun,कोट देखणो मेरे गोइरो रे राणे रा।,I want to see the fort of the Rana of Kotkhai.,,,,,
a51sXPWUNN36CW9nGTlF,खादला,,,,"Rohruri (Spail), Chuhara, Barari",,,,,,,,,,Muddy,मैला,States and Characteristics,,adj,adjective,बारिशे बासिए नौए रो पाणी खादलो हुई गो,After the rainfall river water has become muddy,,,,,
a6YovsZcSXwNLozQzwVf,मालवा,,,,Shimla Saraji,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2Fa6YovsZcSXwNLozQzwVf_1653310991826.wav?alt=media,a6YovsZcSXwNLozQzwVf_Pigeon.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Pigeon,कबूतर,Birds,,n,noun,,,,,,,
aBlDZvVy61NnmJWqmte2,सुई,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FaBlDZvVy61NnmJWqmte2_1653312522793.wav?alt=media,aBlDZvVy61NnmJWqmte2_Salutations_from_a_married_female.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Salutations from a married female,एक विवाहित महिला से सलाम,Language and Communication,,n,noun,,,,,,,
aEKjVaa9yhWcAVN3urUX,कूणी,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/audio%2Fmahasuvi%2FaEKjVaa9yhWcAVN3urUX_1624192702854.wav?alt=media,aEKjVaa9yhWcAVN3urUX_Corner.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Corner,कोना,Location and Directions,,n,noun,,,,,,,
aFMSVcdeNZp1WlTdQke8,दूस,,,,Sharachali,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FaFMSVcdeNZp1WlTdQke8_1653131927862.wav?alt=media,aFMSVcdeNZp1WlTdQke8_Day.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Day,दिन,Time,,n,noun,,,,,,,
aJdJvRgkjxXCT56EZqOK,खरेडी,,,,Shimla Saraji,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FaJdJvRgkjxXCT56EZqOK_1653122736758.wav?alt=media,aJdJvRgkjxXCT56EZqOK_Legs_of_a_goat.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Legs of a goat,बकरे की टांगे,Body parts,Animals,n,noun,खरेडी कोसके देई  तूएँ?,To whom did you give the goat's legs?,,,,,
aNRJUfidlWLSdj11n2E5,देऊठी,,,,Shimla Saraji,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FaNRJUfidlWLSdj11n2E5_1653131980925.wav?alt=media,aNRJUfidlWLSdj11n2E5_Temple.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Temple,मंदिर,Spirituality and Religion,Construction,n,noun,डोमो री देऊठी बेगे बॉडी ओ।,Dom's temple is very large.,,,,,
aOazueJxQAylcU0l7IAv,किन्दें,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/audio%2Fmahasuvi%2FaOazueJxQAylcU0l7IAv_1624192403292.wav?alt=media,aOazueJxQAylcU0l7IAv_Where.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Where,कहाँ,Location and Directions,,adv,adverb,,,,,,,
aOkyFQwqpkjRZOKCm11f,बेगी,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FaOkyFQwqpkjRZOKCm11f_1653309195221.wav?alt=media,aOkyFQwqpkjRZOKCm11f_A_lot_excessive.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,"A lot, excessive",बहुत ज़्यादा,Sizes and dimensions,,adj,adjective,,,,,,,
aSSn61G302IhqOZmP5M9,शांद,,,,Rohruri ,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FaSSn61G302IhqOZmP5M9_1653312061625.wav?alt=media,aSSn61G302IhqOZmP5M9_Tired.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Tired,थक,Sleep,States and Characteristics,adj,adjective,,,,,,,
aSThvTXuFdjEzC3rWAxY,गार,,,,Shimla Saraji,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FaSThvTXuFdjEzC3rWAxY_1653123497632.wav?alt=media,aSThvTXuFdjEzC3rWAxY_Mud.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Mud,कीचड़,Universe and the natural world,"Earth, geology and landscape",n,noun,,,,,,,
aTbZjrIWP25hb8xU8RXW,धेड़णो,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FaTbZjrIWP25hb8xU8RXW_1653296105956.wav?alt=media,aTbZjrIWP25hb8xU8RXW_Act_of_tearing_apart.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Act of tearing apart,फाड़ने की क्रिया,Physical Actions,,v,verb,,,,,,,
aTpRz2Ew3EF8FIfdnJ17,जिबाल,,,,Sharachali,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FaTpRz2Ew3EF8FIfdnJ17_1653125470399.wav?alt=media,aTpRz2Ew3EF8FIfdnJ17_Noose.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Noose,फंदा,Tools and weapons,,n,noun,,,,,,,
aUTMR7lweWJRKwfHSOg1,घैल,,,,Barari,,,,,,,,,,Hug,झप्पी,Physical Actions,Social activities and interactions,v,verb,"रूपी रे आमा आहो ली, तो घैल दैअ। ",Roopi's mother will come and hug.,रूपी की माँ आकर गले लगेगी।,,,,
advRJ3w6xXNtfWjR7JLf,शवाल,,,,Shimla Saraji,,,,,,,,,,Swelling,सूजन,"Health, well-being and sickness",,n,noun,तेरो लात केईं ओ शवाओ दो?,Why is your foot swollen?,आपका पैर क्यों सूज गया है?,,,,
aeyyOpZf5hdKXlDMiNr8,मेढ़,,,,Shadochi,,,,,,,,,,Wooden floor,लकड़ी के फर्श,Household,,n,noun,मेढ़ लीपौ नी तैं,Haven't you mopped the floor?,क्या तुमने फर्श नहीं पोंछा?,,,,
afHbdCXPh0AzuSrOhzgH,थाड़ौ,,,,Shadochi,,,,,,,,,,Grasshopper,टिड्डी,Insects and small creatures,,n,noun,तेरै गुज्जै दी थाड़ौ डे गौ,A grasshopper went inside your pocket,एक टिड्डा आपकी जेब में चला गया,,,,
ahCEBf22xxdZfSY29fAr,बोदांची,,,,Bishshau,,,,,,,,,,invitation,आमंत्रण,Language and Communication,Social activities and interactions,n,noun,,,,,,,
am1TcRJShPZkWCCsGQTL,बाळणा,,,,Shimla Saraji,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2Fam1TcRJShPZkWCCsGQTL_1653308968518.wav?alt=media,am1TcRJShPZkWCCsGQTL_Act_of_combing_hair.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Act of combing hair,बालों में कंघी करने की क्रिया,Physical Actions,Cleanliness and hygiene,v,verb,,,,,,,
asVlWr6ogz0P7RFW0ZNF,बाज,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FasVlWr6ogz0P7RFW0ZNF_1653297426510.wav?alt=media,asVlWr6ogz0P7RFW0ZNF_play_an_instrument.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,play (an instrument),बजा,Physical Actions,Music and Entertainment,v,verb,,,,,,,
awp9Cyvhl5jtNb2AZc9k,दौख,,,,Chuhara,,,,,,,,,,Although,यद्यपि,"Coordinators, Subordinators, Relativizers, Quotatives",,conj,conjunction,,,,,,,
b5uM6G57Evn6i8M3Qnje,लोड़,,,,Shimla Saraji,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2Fb5uM6G57Evn6i8M3Qnje_1653311964820.wav?alt=media,b5uM6G57Evn6i8M3Qnje_Find.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Find,खोज,Physical Actions,Location and Directions,v,verb,का लोड़ लाओ?,What are you searching?,,,,,
b6b6GFMaQ2AVbTS6yM8z,पॉशड़ी,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2Fb6b6GFMaQ2AVbTS6yM8z_1653296907851.wav?alt=media,b6b6GFMaQ2AVbTS6yM8z_Side.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Side,पक्ष,Location and Directions,,n,noun,,,,,,,
b80zn6vbLJNpnCfqGpGy,शड़ेंण,,,,Shimla Saraji,,,,,,,,,,Bad smell,बुरी गंध,Senses and perception,,n,noun,तांदो शड़ेंण आज लागी,You are smelling bad.,आपको बदबू आ रही है।,,,,
bA0K8aQzrNSoDGcLsy7P,पांडके,pɑːⁿɖkeː,,,Shimla Saraji,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FbA0K8aQzrNSoDGcLsy7P_1653296668631.wav?alt=media,bA0K8aQzrNSoDGcLsy7P_there_that_side.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,"there, that side",उस तरफ,Location and Directions,,n,noun,तूएँ पांडके केयीं डेए?,Why did you go to that side?,आप उस तरफ क्यों गए?,,,,
bAmnJI5oBvWKTwpJRZD0,रुंदी,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FbAmnJI5oBvWKTwpJRZD0_1653311613954.wav?alt=media,bAmnJI5oBvWKTwpJRZD0_Crying.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Crying,रोना,Physical Actions,Emotions,,,,,,Body functions,,,
bDhONIZSV6ggdDjKMoJt,बिकरी,,,,Shimla Saraji,,,,,,,,,,anterior portion of a farm,खेत का अग्र भाग,Agriculture,,,,,,,,,,
bE3aXQaVpwf5bpfmlatR,कोल्ली,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FbE3aXQaVpwf5bpfmlatR_1653122658548.wav?alt=media,bE3aXQaVpwf5bpfmlatR_Alone.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Alone,अकेले,States and Characteristics,,adj,adjective,,,,,,,
bOnJDnXguddVT0TEaICr,जों,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FbOnJDnXguddVT0TEaICr_1653130440434.wav?alt=media,bOnJDnXguddVT0TEaICr_Workers_of_netherworld.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Workers of netherworld,यमदूत,Spirituality and Religion,,n,noun,,,,,,,
bVjYwjx0tD6QqwoQ9YaA,खालड़ा,,,,Rohruri ,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FbVjYwjx0tD6QqwoQ9YaA_1653122909043.wav?alt=media,bVjYwjx0tD6QqwoQ9YaA_Bag_made_out_of_goat_skin_which_was_used_for_storing_grains_in_olden_times.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Bag made out of goat skin which was used for storing grains in olden times,बकरी की खाल से बना थैला जो पुराने समय में अनाज के भंडारण के लिए इस्तेमाल किया जाता था,Agriculture,,n,noun,,,,,,,
baZjZ9gvLbDWNfPJN65Q,चोडवे,,,,Sharachali,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FbaZjZ9gvLbDWNfPJN65Q_1653125009768.wav?alt=media,baZjZ9gvLbDWNfPJN65Q_Feet.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Feet,पेर,Body parts,,n,noun,,,,,,,
bbRlmVWntem4TYNbQJtI,खीस,,,,Shimla Saraji,,,,,,,,,,fart,पाद छोड़ना,Physical Actions,Senses and perception,v,verb,कुणे खीसो?,Who farted?,,,,,
bdjqzsauJXGaAi0ECmiN,ज़ानु,,,,"Shimla Saraji, Shadochi, Bishshau",,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FbdjqzsauJXGaAi0ECmiN_1653125338894.wav?alt=media,bdjqzsauJXGaAi0ECmiN_Knee.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Knee,घुटना,Body parts,,n,noun,,,,,,,
bevJdPIwRRN0cBxBw5PW,चग्राओ,,,,Rohruri ,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FbevJdPIwRRN0cBxBw5PW_1653124694121.wav?alt=media,bevJdPIwRRN0cBxBw5PW_To_warn.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,To warn,चेतावनी देना,Language and Communication,,v,verb,,,,,,,
bm5cTwhjOpJthzuLDE8A,मडेक,,,,,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2Fbm5cTwhjOpJthzuLDE8A_1653310705787.wav?alt=media,bm5cTwhjOpJthzuLDE8A_Twist.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Twist,मरोड़,Physical Actions,,v,verb,,,,,,,
bphZiMSY6UasKU9IG3tz,भेट,,,,Bishshau,,,,https://firebasestorage.googleapis.com/v0/b/talking-dictionaries-alpha.appspot.com/o/mahasuvi%2Faudio%2FbphZiMSY6UasKU9IG3tz_1653310589841.wav?alt=media,bphZiMSY6UasKU9IG3tz_Find.wav,Aniket Chauhan,"Theog, Shimla, Himachal Pradesh, India",21-30,,Find,खोज,Physical Actions,Location and Directions,v,verb,,,,,,,
